-------------------------last log tuples start--------------------------------
Time [clock=1, time=2015-05-27 15:08:18.551]
org notification: Time [clock=1, time=2015-05-27 15:08:18.551]
org notification: Time [clock=1, time=2015-05-27 15:08:18.551]
Time [clock=7, time=2015-05-27 15:08:26.152]
org notification: Time [clock=7, time=2015-05-27 15:08:26.152]
Time [clock=2, time=2015-05-27 15:08:28.555]
org notification: Time [clock=7, time=2015-05-27 15:08:26.152]
org notification: Time [clock=2, time=2015-05-27 15:08:28.555]
org notification: Time [clock=8, time=2015-05-27 15:08:36.155]
org notification: Time [clock=2, time=2015-05-27 15:08:28.555]
org notification: Time [clock=8, time=2015-05-27 15:08:36.155]
Time [clock=8, time=2015-05-27 15:08:36.155]
Time [clock=3, time=2015-05-27 15:08:38.559]
org notification: Time [clock=3, time=2015-05-27 15:08:38.559]
org notification: Time [clock=3, time=2015-05-27 15:08:38.559]
Time [clock=6, time=2015-05-27 15:08:16.146]
org notification: Time [clock=6, time=2015-05-27 15:08:16.146]
org notification: Time [clock=6, time=2015-05-27 15:08:16.146]
-------------------------last log tuples end----------------------------------
org notification: Time [clock=9, time=2015-05-27 15:08:46.159]
org notification: Time [clock=9, time=2015-05-27 15:08:46.159]
org notification: Time [clock=9, time=2015-05-27 15:08:46.159]
org notification: Time [clock=4, time=2015-05-27 15:08:48.563]
org notification: Time [clock=4, time=2015-05-27 15:08:48.563]
org notification: Time [clock=4, time=2015-05-27 15:08:48.563]
org notification: Time [clock=1, time=2015-05-27 15:08:51.806]
org notification: Time [clock=1, time=2015-05-27 15:08:51.806]
org notification: Time [clock=1, time=2015-05-27 15:08:51.806]
org notification: Time [clock=10, time=2015-05-27 15:08:56.164]
org notification: Time [clock=10, time=2015-05-27 15:08:56.164]
org notification: Time [clock=10, time=2015-05-27 15:08:56.164]
org notification: Time [clock=5, time=2015-05-27 15:08:58.567]
org notification: Time [clock=5, time=2015-05-27 15:08:58.567]
org notification: Time [clock=5, time=2015-05-27 15:08:58.567]
org notification: Time [clock=2, time=2015-05-27 15:09:01.81]
org notification: Time [clock=2, time=2015-05-27 15:09:01.81]
org notification: Time [clock=2, time=2015-05-27 15:09:01.81]
org notification: Time [clock=11, time=2015-05-27 15:09:06.167]
org notification: Time [clock=11, time=2015-05-27 15:09:06.167]
org notification: Time [clock=11, time=2015-05-27 15:09:06.167]
org notification: Time [clock=6, time=2015-05-27 15:09:08.574]
org notification: Time [clock=6, time=2015-05-27 15:09:08.574]
org notification: Time [clock=6, time=2015-05-27 15:09:08.574]
org notification: Time [clock=3, time=2015-05-27 15:09:11.815]
org notification: Time [clock=3, time=2015-05-27 15:09:11.815]
org notification: Time [clock=3, time=2015-05-27 15:09:11.815]
org notification: Time [clock=12, time=2015-05-27 15:09:16.171]
org notification: Time [clock=12, time=2015-05-27 15:09:16.171]
org notification: Time [clock=12, time=2015-05-27 15:09:16.171]
org notification: Time [clock=7, time=2015-05-27 15:09:18.578]
org notification: Time [clock=7, time=2015-05-27 15:09:18.578]
org notification: Time [clock=7, time=2015-05-27 15:09:18.578]
org notification: Time [clock=4, time=2015-05-27 15:09:21.818]
org notification: Time [clock=4, time=2015-05-27 15:09:21.818]
org notification: Time [clock=4, time=2015-05-27 15:09:21.818]
org notification: Time [clock=13, time=2015-05-27 15:09:26.176]
org notification: Time [clock=13, time=2015-05-27 15:09:26.176]
org notification: Time [clock=13, time=2015-05-27 15:09:26.176]
